adwaita-dark 1.0-1
alacritty 0.16.1-1
alsa-utils 1.2.15.2-2
amd-ucode 20260221-1
arch-install-scripts 31-1
ark 25.12.3-1
base 3-3
base-devel 1-2
bat 0.26.1-2
blender 17:5.0.1-7
bless 0.6.3-2
bluez 5.86-4
bluez-utils 5.86-4
bridge-utils 1.7.1-5
btop 1.4.6-1
chafa 1.18.1-1
chatty 0.8.8-7
cliphist 1:0.7.0-2
clipman 1.6.5-1
cmake 4.2.3-1
cmatrix 2.0-4
code 1.109.5-1
cpio 2.15-3
cups 2:2.4.16-2
cups-pk-helper 0.2.7-2
d-spy 49.2-1
davinci-resolve 20.3.2-1
dbeaver 25.3.5-1
dconf-editor 49.0-1
dex 0.10.1-1
discord 1:0.0.127-1
discordo-git r1288.08bda9e-1
dmenu 5.4-1
dnsmasq 2.92-1
dolphin 25.12.3-1
dotnet-sdk 10.0.3.sdk103-1
drawpen-bin 0.0.43-1
dunst 1.13.1-1
efibootmgr 18-3
emacs 30.2-1
endeavour 43.0-5
fd 10.3.0-2
feh 3.11.3-1
file-roller 44.6-1
firefox 148.0-1
fpaste 0.4.4.0-1
geogebra 1:5.4.918.0-1
ghex 48.3-1
gimp 3.0.8-2
git 2.53.0-1
github-cli 2.87.3-1
gnome-boxes 49.1-2
gnome-builder 49.1-2
gnome-calls 49.1.1-1
gnome-chess 49.2-1
gnome-mahjongg 49.1.1-1
gnome-mines 49.0.1-1
gnome-nibbles 4.5.0-1
gnome-robots 41.2-3
gnome-sound-recorder 42.0-5
gnome-sudoku 49.4-1
gnome-themes-extra 1:3.28-1
gnome-tweaks 49.0-2
gparted 1.8.0-1
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.0-2
gtk-engine-murrine 0.98.2-5
hardinfo2 2.2.16-1
htop 3.4.1-1
hyfetch 2.0.5-2
hyprlock 0.9.2-8
hyprpaper 0.8.3-2
hyprshot 1.3.0-4
inetutils 2.7-2
iptables-nft 1:1.8.11-2
jetbrains-toolbox 3.3.1.75249-1
kate 25.12.3-1
kio-admin 25.12.3-1
kitty 0.45.0-4
krita 5.2.16-1
kvantum 1.1.6-1
kvantum-qt5 1.1.6-1
kwalletmanager 25.12.3-1
libguestfs 1.56.2-4
libpng12 1.2.59-2
libpng12-debug 1.2.59-2
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.1-1
libvirt 1:12.1.0-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightsoff 48.1-1
linux 6.19.6.arch1-1
linux-firmware 20260221-1
linux-headers 6.19.6.arch1-1
lutris 0.5.22-1
lxinput 0.3.6-3
lxqt-policykit 2.3.0-1
ly 1.3.2-1
maim 5.8.1-3
man-db 2.13.1-1
manuals 49.1-1
meson 1.10.1-1
